major_theme,mid_level_theme,level,connection_type,reference,description,testament,genre
Creation & Primeval History,Cosmic Creation,MID_LEVEL,,,Cosmic Creation - 10 passages,Old Testament,General
Creation & Primeval History,Cosmic Creation,FINE_GRAINED,Direct Reference,Genesis 1:1-2:3,Six days of creation,Old Testament,Narrative
Creation & Primeval History,Cosmic Creation,FINE_GRAINED,Direct Reference,Genesis 2:4-25,Adam and Eve narrative,Old Testament,Narrative
Creation & Primeval History,Cosmic Creation,FINE_GRAINED,Direct Reference,John 1:1-3,Logos as creator,New Testament,Gospel
Creation & Primeval History,Cosmic Creation,FINE_GRAINED,Direct Reference,Psalm 33:6-9,Word creates,Old Testament,Poetry
Creation & Primeval History,Cosmic Creation,FINE_GRAINED,Direct Reference,Psalm 104,Creation psalm,Old Testament,Poetry
Creation & Primeval History,Cosmic Creation,FINE_GRAINED,Direct Reference,Proverbs 8:22-31,Wisdom in creation,Old Testament,Wisdom
Creation & Primeval History,Cosmic Creation,FINE_GRAINED,Direct Reference,Job 38-41,God speeches on creation,Old Testament,General
Creation & Primeval History,Cosmic Creation,FINE_GRAINED,Direct Reference,Isaiah 45:18,Creator's purpose,Old Testament,Prophecy
Creation & Primeval History,Cosmic Creation,FINE_GRAINED,Direct Reference,Colossians 1:16-17,All things through Him,New Testament,General
Creation & Primeval History,Cosmic Creation,FINE_GRAINED,Direct Reference,Hebrews 11:3,Faith understands creation,New Testament,General
Creation & Primeval History,Human Creation,MID_LEVEL,,,Human Creation - 8 passages,Old Testament,General
Creation & Primeval History,Human Creation,FINE_GRAINED,Direct Reference,Genesis 1:26-27,Image of God,Old Testament,Narrative
Creation & Primeval History,Human Creation,FINE_GRAINED,Direct Reference,Genesis 2:7,Breath of life,Old Testament,Narrative
Creation & Primeval History,Human Creation,FINE_GRAINED,Direct Reference,Genesis 2:18-25,Woman created,Old Testament,Narrative
Creation & Primeval History,Human Creation,FINE_GRAINED,Direct Reference,Psalm 8,Human dignity,Old Testament,Poetry
Creation & Primeval History,Human Creation,FINE_GRAINED,Direct Reference,Psalm 139:13-16,Knit in womb,Old Testament,Poetry
Creation & Primeval History,Human Creation,FINE_GRAINED,Direct Reference,Sirach 17,Human nature,Apocrypha,General
Creation & Primeval History,Human Creation,FINE_GRAINED,Direct Reference,Wisdom 2:23,Created for immortality,Apocrypha,General
Creation & Primeval History,Human Creation,FINE_GRAINED,Direct Reference,1 Corinthians 15:45,Adam as living soul,New Testament,Epistle
Creation & Primeval History,The Garden,MID_LEVEL,,,The Garden - 6 passages,Old Testament,General
Creation & Primeval History,The Garden,FINE_GRAINED,Direct Reference,Genesis 2:8-17,Eden geography,Old Testament,Narrative
Creation & Primeval History,The Garden,FINE_GRAINED,Direct Reference,Genesis 2:16-17,Tree command,Old Testament,Narrative
Creation & Primeval History,The Garden,FINE_GRAINED,Direct Reference,Genesis 3,The Fall,Old Testament,Narrative
Creation & Primeval History,The Garden,FINE_GRAINED,Direct Reference,Genesis 3:15,Protoevangelium,Old Testament,Narrative
Creation & Primeval History,The Garden,FINE_GRAINED,Direct Reference,Ezekiel 28:11-19,Eden imagery,Old Testament,Prophecy
Creation & Primeval History,The Garden,FINE_GRAINED,Direct Reference,Revelation 22:1-5,New Eden,New Testament,Apocalypse
Creation & Primeval History,The Fall,MID_LEVEL,,,The Fall - 7 passages,Old Testament,General
Creation & Primeval History,The Fall,FINE_GRAINED,Direct Reference,Genesis 3,First sin,Old Testament,Narrative
Creation & Primeval History,The Fall,FINE_GRAINED,Direct Reference,Genesis 3:1-6,Temptation narrative,Old Testament,Narrative
Creation & Primeval History,The Fall,FINE_GRAINED,Direct Reference,Genesis 3:7-13,Consequences,Old Testament,Narrative
Creation & Primeval History,The Fall,FINE_GRAINED,Direct Reference,Genesis 3:14-19,Curses,Old Testament,Narrative
Creation & Primeval History,The Fall,FINE_GRAINED,Direct Reference,Genesis 3:22-24,Exile from Eden,Old Testament,Narrative
Creation & Primeval History,The Fall,FINE_GRAINED,Direct Reference,Romans 5:12-21,Sin through Adam,New Testament,Epistle
Creation & Primeval History,The Fall,FINE_GRAINED,Direct Reference,1 Corinthians 15:21-22,Adam/Christ contrast,New Testament,Epistle
Creation & Primeval History,Cain & Abel,MID_LEVEL,,,Cain & Abel - 6 passages,Old Testament,General
Creation & Primeval History,Cain & Abel,FINE_GRAINED,Direct Reference,Genesis 4:1-8,First murder,Old Testament,Narrative
Creation & Primeval History,Cain & Abel,FINE_GRAINED,Direct Reference,Genesis 4:9-16,Curse of Cain,Old Testament,Narrative
Creation & Primeval History,Cain & Abel,FINE_GRAINED,Direct Reference,Genesis 4:17-26,Cain's descendants,Old Testament,Narrative
Creation & Primeval History,Cain & Abel,FINE_GRAINED,Direct Reference,Hebrews 11:4,Abel's faith,New Testament,General
Creation & Primeval History,Cain & Abel,FINE_GRAINED,Direct Reference,1 John 3:12,Cain's evil,New Testament,Gospel
Creation & Primeval History,Cain & Abel,FINE_GRAINED,Direct Reference,Jude 1:11,Way of Cain,New Testament,General
Creation & Primeval History,Patriarchs Before Flood,MID_LEVEL,,,Patriarchs Before Flood - 6 passages,Old Testament,General
Creation & Primeval History,Patriarchs Before Flood,FINE_GRAINED,Direct Reference,Genesis 5,Genealogies,Old Testament,Narrative
Creation & Primeval History,Patriarchs Before Flood,FINE_GRAINED,Direct Reference,Genesis 5:21-24,Enoch translation,Old Testament,Narrative
Creation & Primeval History,Patriarchs Before Flood,FINE_GRAINED,Direct Reference,Genesis 5:24,Enoch walked with God,Old Testament,Narrative
Creation & Primeval History,Patriarchs Before Flood,FINE_GRAINED,Direct Reference,Genesis 6:1-4,Sons of God,Old Testament,Narrative
